Date,Meal Type,Food Item,Quantity
01-09-2024,BreakFast,Groundnut,75 G
01-09-2024,Lunch,Cauliflower Rice,250 G
01-09-2024,Lunch,Eggs,2
01-09-2024,Lunch,Curd,50 ML
01-09-2024,Snack,Cucumber,1
01-09-2024,Dinner,Non-veg (Chicken),300 G
02-09-2024,BreakFast,Coconut + Nuts,½ + 25 G nuts
02-09-2024,Lunch,Vegetables,250 G
02-09-2024,Lunch,Eggs,2
02-09-2024,Lunch,Curd,50 ML
02-09-2024,Snack,Guava,1
02-09-2024,Dinner,Eggs,3
03-09-2024,BreakFast,Badam,75 G
03-09-2024,Lunch,Cauliflower Rice,250 G
03-09-2024,Lunch,Eggs,2
03-09-2024,Lunch,Curd,50 ML
03-09-2024,Snack,Carrots,1
03-09-2024,Dinner,Mushroom,300 G
04-09-2024,BreakFast,Groundnut,75 G
04-09-2024,Lunch,Vegetables,250 G
04-09-2024,Lunch,Eggs,2
04-09-2024,Lunch,Curd,50 ML
04-09-2024,Snack,Cucumber,1
04-09-2024,Dinner,Non-veg (Fish),300 G
05-09-2024,BreakFast,Coconut + Nuts,½ + 25 G nuts
05-09-2024,Lunch,Cauliflower Rice,250 G
05-09-2024,Lunch,Eggs,2
05-09-2024,Lunch,Curd,50 ML
05-09-2024,Snack,Green Tea,1 cup
05-09-2024,Dinner,Eggs,4
06-09-2024,BreakFast,Badam,75 G
06-09-2024,Lunch,Vegetables,250 G
06-09-2024,Lunch,Eggs,2
06-09-2024,Lunch,Curd,50 ML
06-09-2024,Snack,Nuts/Seeds,15 G
06-09-2024,Dinner,Mushroom,300 G
07-09-2024,BreakFast,Groundnut,75 G
07-09-2024,Lunch,Cauliflower Rice,250 G
07-09-2024,Lunch,Eggs,2
07-09-2024,Lunch,Curd,50 ML
07-09-2024,Snack,Guava,1
07-09-2024,Dinner,Non-veg (Chicken),300 G
08-09-2024,BreakFast,Coconut + Nuts,½ + 25 G nuts
08-09-2024,Lunch,Vegetables,250 G
08-09-2024,Lunch,Eggs,2
08-09-2024,Lunch,Curd,50 ML
08-09-2024,Snack,Lemon Juice,1 glass
08-09-2024,Dinner,Eggs,3
